date,cost
2022/1/1,102.846259
2022/1/2,104.156002
2022/1/3,104.207416
2022/1/4,104.318806
2022/1/5,104.389564
2022/1/6,104.439034
2022/1/7,104.334601
2022/1/8,102.863842
2022/1/9,98.25982
2022/1/10,102.199948
2022/1/11,98.030422
2022/1/12,97.950166
2022/1/13,97.676986
2022/1/14,98.270176
2022/1/15,98.05318
2022/1/16,94.827385
2022/1/17,92.205472
2022/1/18,91.932934
2022/1/19,91.89745
2022/1/20,91.953091
2022/1/21,91.930249
2022/1/22,91.862497
2022/1/23,91.888345
2022/1/24,87.248401
2022/1/25,85.628809
2022/1/26,85.655407
2022/1/27,86.606314
2022/1/28,86.222566
2022/1/29,85.871008
2022/1/30,85.736266
2022/1/31,85.408657
2022/2/1,103.734157
2022/2/2,104.925553
2022/2/3,105.032827
2022/2/4,105.070189
2022/2/5,105.091714
2022/2/6,105.216172
2022/2/7,105.240922
2022/2/8,98.967445
2022/2/9,99.461875
2022/2/10,98.976535
2022/2/11,98.936281
2022/2/12,98.954104
2022/2/13,98.862211
2022/2/14,99.165865
2022/2/15,92.706574
2022/2/16,92.538343
2022/2/17,92.458909
2022/2/18,92.513569
2022/2/19,92.581459
2022/2/20,92.563342
2022/2/21,92.560858
2022/2/22,86.194189
2022/2/23,86.14693
2022/2/24,86.167735
2022/2/25,86.173213
2022/2/26,86.163334
2022/2/27,86.126893
2022/2/28,86.087587
2022/3/1,102.661282
2022/3/2,104.051182
2022/3/3,103.899694
2022/3/4,103.93375
2022/3/5,103.972177
2022/3/6,103.954744
2022/3/7,103.924186
2022/3/8,102.367858
2022/3/9,97.597876
2022/3/10,97.633645
2022/3/11,97.617334
2022/3/12,97.586416
2022/3/13,94.635406
2022/3/14,97.603231
2022/3/15,97.749427
2022/3/16,94.863352
2022/3/17,91.497907
2022/3/18,91.570081
2022/3/19,91.636936
2022/3/20,91.421845
2022/3/21,91.377805
2022/3/22,91.410415
2022/3/23,91.424206
2022/3/24,86.680186
2022/3/25,84.979174
2022/3/26,85.031509
2022/3/27,84.993709
2022/3/28,85.046167
2022/3/29,85.007902
2022/3/30,85.037392
2022/3/31,84.956293
2022/4/1,102.748897
2022/4/2,104.081086
2022/4/3,104.076097
2022/4/4,104.167654
2022/4/5,104.135155
2022/4/6,104.218987
2022/4/7,104.444791
2022/4/8,100.977259
2022/4/9,97.808905
2022/4/10,97.799305
2022/4/11,97.906273
2022/4/12,97.828666
2022/4/13,97.837819
2022/4/14,97.796395
2022/4/15,97.819429
2022/4/16,91.415188
2022/4/17,91.477081
2022/4/18,91.474858
2022/4/19,91.501087
2022/4/20,91.44499
2022/4/21,91.479733
2022/4/22,91.482385
2022/4/23,88.316149
2022/4/24,85.184581
2022/4/25,85.112959
2022/4/26,85.152421
2022/4/27,85.17904
2022/4/28,85.135087
2022/4/29,85.221523
2022/4/30,85.271113
2022/5/1,102.58711
2022/5/2,103.788619
2022/5/3,103.860919
2022/5/4,103.998703
2022/5/5,104.000851
2022/5/6,104.014828
2022/5/7,103.996417
2022/5/8,102.391276
2022/5/9,97.598995
2022/5/10,97.626205
2022/5/11,97.628551
2022/5/12,97.647229
2022/5/13,97.837747
2022/5/14,97.727665
2022/5/15,97.685005
2022/5/16,94.567126
2022/5/17,91.494502
2022/5/18,91.288693
2022/5/19,92.239342
2022/5/20,92.317132
2022/5/21,97.460782
2022/5/22,92.338975
2022/5/23,92.332393
2022/5/24,87.63217
2022/5/25,85.971025
2022/5/26,86.077597
2022/5/27,86.015263
2022/5/28,85.99687
2022/5/29,85.895617
2022/5/30,86.021062
2022/5/31,86.064913
2022/6/1,103.858762
2022/6/2,105.222757
2022/6/3,105.519007
2022/6/4,106.002178
2022/6/5,105.942049
2022/6/6,105.50722
2022/6/7,105.515305
2022/6/8,102.282559
2022/6/9,99.003076
2022/6/10,99.118531
2022/6/11,99.053899
2022/6/12,99.033787
2022/6/13,99.125254
2022/6/14,99.336247
2022/6/15,99.165751
2022/6/16,92.906314
2022/6/17,92.801674
2022/6/18,92.931925
2022/6/19,96.708697
2022/6/20,92.880868
2022/6/21,92.922832
2022/6/22,92.930305
2022/6/23,89.693542
2022/6/24,86.505865
2022/6/25,86.564767
2022/6/26,86.512015
2022/6/27,86.561284
2022/6/28,86.511646
2022/6/29,86.806237
2022/6/30,86.950378
2022/7/1,103.923604
2022/7/2,105.255502
2022/7/3,105.209512
2022/7/4,105.175249
2022/7/5,105.142255
2022/7/6,105.330082
2022/7/7,105.186007
2022/7/8,103.709101
2022/7/9,98.846221
2022/7/10,98.850907
2022/7/11,99.446041
2022/7/12,98.887843
2022/7/13,98.839057
2022/7/14,99.674053
2022/7/15,99.573757
2022/7/16,96.457852
2022/7/17,93.273691
2022/7/18,93.331963
2022/7/19,93.203026
2022/7/20,93.255535
2022/7/21,93.254752
2022/7/22,93.300811
2022/7/23,93.273988
2022/7/24,88.535641
2022/7/25,86.95549
2022/7/26,87.519454
2022/7/27,87.031435
2022/7/28,86.966029
2022/7/29,87.001666
2022/7/30,87.08323
2022/7/31,86.982622
2022/8/1,104.506201
2022/8/2,105.853891
2022/8/3,105.910486
2022/8/4,105.899242
2022/8/5,105.915925
2022/8/6,106.013644
2022/8/7,106.014568
2022/8/8,104.452396
2022/8/9,99.716896
2022/8/10,99.693007
2022/8/11,99.762436
2022/8/12,99.762511
2022/8/13,99.702073
2022/8/14,99.759454
2022/8/15,99.827905
2022/8/16,96.623995
2022/8/17,93.415588
2022/8/18,93.489634
2022/8/19,93.867157
2022/8/20,93.768472
2022/8/21,93.550873
2022/8/22,93.447313
2022/8/23,93.471274
2022/8/24,88.623226
2022/8/25,87.001417
2022/8/26,88.21363
2022/8/27,87.041125
2022/8/28,87.108691
2022/8/29,87.048994
2022/8/30,87.149932
2022/8/31,87.065137
2022/9/1,104.8942
2022/9/2,106.301983
2022/9/3,106.330099
2022/9/4,106.341466
2022/9/5,106.595335
2022/9/6,106.714786
2022/9/7,106.854604
2022/9/8,104.613328
2022/9/9,101.109109
2022/9/10,100.617367
2022/9/11,101.566306
2022/9/12,102.039931
2022/9/13,101.71828
2022/9/14,101.919913
2022/9/15,103.056163
2022/9/16,101.169814
2022/9/17,95.200414
2022/9/18,96.78646
2022/9/19,97.668412
2022/9/20,97.704142
2022/9/21,97.681318
2022/9/22,97.68679
2022/9/23,92.906572
2022/9/24,88.757464
2022/9/25,90.933835
2022/9/26,95.645716
2022/9/27,94.851058
2022/9/28,94.639045
2022/9/29,94.702459
2022/9/30,94.761109
2022/10/1,106.045996
2022/10/2,107.434315
2022/10/3,108.454435
2022/10/4,107.404507
2022/10/5,107.406619
2022/10/6,107.37178
2022/10/7,107.45113
2022/10/8,106.025095
2022/10/9,101.112247
2022/10/10,101.097427
2022/10/11,101.161042
2022/10/12,101.288107
2022/10/13,101.101834
2022/10/14,101.167771
2022/10/15,101.200561
2022/10/16,98.838391
2022/10/17,96.063445
2022/10/18,96.468637
2022/10/19,96.180754
2022/10/20,96.133381
2022/10/21,95.248972
2022/10/22,94.77838
2022/10/23,95.499172
2022/10/24,92.23783
2022/10/25,90.113923
2022/10/26,89.746219
2022/10/27,89.761174
2022/10/28,88.895815
2022/10/29,88.440769
2022/10/30,89.429806
2022/10/31,90.511747
2022/11/1,111.749035
2022/11/2,108.296077
2022/11/3,108.191047
2022/11/4,108.003364
2022/11/5,108.354343
2022/11/6,111.834754
2022/11/7,108.596362
2022/11/8,106.029604
2022/11/9,103.220194
2022/11/10,103.11988
2022/11/11,102.091558
2022/11/12,101.833288
2022/11/13,102.811114
2022/11/14,103.108399
2022/11/15,102.991708
2022/11/16,98.027629
2022/11/17,98.025406
2022/11/18,96.180499
2022/11/19,95.4013
2022/11/20,97.314712
2022/11/21,98.061022
2022/11/22,98.042578
2022/11/23,95.293666
2022/11/24,92.21311
2022/11/25,89.872072
2022/11/26,89.183575
2022/11/27,91.453141
2022/11/28,92.052679
2022/11/29,91.952614
2022/11/30,92.300659
